participant_ID,task,interaction_time,quiz_time,Q1,Q2,Q3,Q4_1,Q4_2,Q5,Q5_1,Q5_2,Q5_3,Q6,Q6_1,Q6_2,Q6_3,Q6_4
P1,data-analysis,790,542,"df = df[df[""yearOfRegistration""] >= 1890]
df = df[df[""yearOfRegistration""] <= 2016]",Translate the offer type column from German to English.,vehicle_data_cleanup,19,19,47.0,,,,,bus,cabrio,9,5.5
P1,natural-language-processing,548,549,Pair up the names of the student's documents with the corresponding vectors.,"comparison = (*sorted((student_a, student_b)), similarity(text_vector_a, text_vector_b)[0][1], sim_score > threshold)",Sort student's assignments based on their similarity.,5,7,,"s_vectors: [(""alice.txt"", [1, 2, 3]), (""bert.txt"", [4, 5, 6])]",1,"s_vectors: [(""alice.txt"", [1, 2, 3])]",comparisons,,,,
P2,data-analysis,498,204,"df = df[df[""yearOfRegistration""] >= 1890]
df = df[df[""yearOfRegistration""] <= 2016]",Translate the offer type column from German to English.,vehicle_price_analysis,16,37,51.0,,,,,bus,9,cabrio,5.5
P2,natural-language-processing,449,291,Pair up the names of the student's documents with the corresponding vectors.,"comparison = (*sorted((student_a, student_b)), similarity(text_vector_a, text_vector_b)[0][1], similarity(text_vector_a, text_vector_b)[0][1] > threshold)",Check whether students have plagiarized each other.,5,7,,"s_vectors: [(""alice.txt"", [1, 2, 3]), (""bert.txt"", [4, 5, 6])]",1,"s_vectors: [(""alice.txt"", [1, 2, 3])",comparisons,,,,
P3,data-analysis,1091,322,"df = df[df[""yearOfRegistration""] >= 1890]
df = df[df[""yearOfRegistration""] <= 2016]",Translate the offer type column from German to English.,vehicle_price_analysis,26,34,51.0,,,,,bus,9,cabrio,5.5
P3,natural-language-processing,772,573,Pair up the names of the student's documents with the corresponding vectors.,"comparison = (*sorted((student_a, student_b)), similarity(text_vector_a, text_vector_b)[0][1], similarity(text_vector_a, text_vector_b)[0][1] > threshold)",Sort student's assignments based on their similarity.,5,7,,"[(""alice.txt"", [1, 2, 3]), (""bert.txt"", [4, 5, 6])]",1,"[(""alice.txt"", [2, 3]), (""bert.txt"", [4, 5, 6])]",comparisons,,,,
P4,data-analysis,631,361,"df = df[df[""yearOfRegistration""] >= 1890]
df = df[df[""yearOfRegistration""] <= 2016]",Translate the offer type column from German to English.,vehicle_price_analysis,19,34,51.0,,,,,bus,9,cabrio,5.5
P4,natural-language-processing,454,256,Pair up the names of the student's documents with the corresponding vectors.,"comparison = (*sorted((student_a, student_b)), similarity(text_vector_a, text_vector_b)[0][1], similarity(text_vector_a, text_vector_b)[0][1] > threshold)",Check whether students have plagiarized each other.,5,7,,"[(""alice.txt"", [1, 2, 3]), (""bert.txt"", [4, 5, 6])]",1,"[(""alice.txt"", [1, 2, 3])]",comparisons,,,,
P5,data-analysis,1205,609,"df = df[df[""yearOfRegistration""] >= 1890]
df = df[df[""yearOfRegistration""] <= 2016]",Translate the offer type column from German to English.,price_trend_plot,25,35,47.0,,,,,bus,6,cabrio,
P5,natural-language-processing,1218,563,Pair up the names of the student's documents with the corresponding vectors.,"comparison = (*sorted((student_a, student_b)), similarity(text_vector_a, text_vector_b)[0][1], similarity(text_vector_a, text_vector_b)[0][1] > threshold)",Check whether students have plagiarized each other.,4,8,,"[(""alice.txt"", [1, 2, 3]), (""bert.txt"", [4, 5, 6])]",1,"[(""alice.txt"", [1, 2, 3])]",comparisons,,,,
P6,data-analysis,1053,402,"df = df[df[""yearOfRegistration""] >= 1890]
df = df[df[""yearOfRegistration""] <= 2016]",Translate the offer type column from German to English.,vehicle_price_analysis,19,34,51.0,,,,,bus,9,cabrio,5.5
P6,natural-language-processing,705,324,Pair up the names of the student's documents with the corresponding vectors.,"comparison = (*sorted((student_a, student_b)), similarity(text_vector_a, text_vector_b)[0][1], similarity(text_vector_a, text_vector_b)[0][1] > threshold)",Check whether students have plagiarized each other.,5,7,,"[(""alice.txt"", [1, 2, 3]), (""bert.txt"", [4, 5, 6])]",1,"[(""alice.txt"", [1, 2, 3])]",comparisons,,,,
P7,data-analysis,1247,493,"df = df[(df[""yearOfRegistration""] >= 1890) | (df[""yearOfRegistration""] <= 2016)]",Translate the offer type column from German to English.,car_brand_visualization,16,19,51.0,,,,,bus,9,cabrio,5.5
P7,natural-language-processing,1208,617,Pair up the names of the student's documents with the corresponding vectors.,"comparison = (*sorted((student_a, student_b)), similarity(text_vector_a, text_vector_b)[0][1], sim_score > threshold)",Check whether students have plagiarized each other.,5,7,,3,3,0,similarity,,,,
